Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1026983,RB11,RKVV60450-DR000100,VINYLAX-6045,CA9001,F02,PP01,"1,000.000",KG,24-01-19,24-01-19,0001
1027021,RB11,ENR62E000-DR000200,U-VAN 62E,CA9002,F01,PP01,"7,973.000",KG,24-01-19,26-01-19,0001
1027065,RB11,RKA950900-BLK01000,ACRYLAX-9509,CA9001,F02,PP01,"10,556.000",KG,24-01-19,24-01-19,0001
1027072,RB11,ENR48B000-DR000200,U-VAN 48B,CA9003,F01,PP01,"4,803.000",KG,24-01-19,26-01-19,0002
1027073,RB11,ENR48B000-DR000200,U-VAN 48B,CA9004,F01,PP01,"4,803.000",KG,24-01-19,26-01-19,0002
1027074,RB11,ENJAO5290-DR000200,OLESTER AO-529,CA9002,F01,PP01,"7,148.900",KG,24-01-19,26-01-19,0001
1027103,RB11,ENGWA159N-DR000200,ALMATEX WA159N1,CA9003,F02,PP01,"9,290.360",KG,24-01-19,26-01-19,0001
1027104,RB11,RKA335500-DR000200,ACRYLAX-3355,CA9002,F02,PP01,"3,500.300",KG,24-01-19,26-01-19,0001
1027105,RB11,RKA1312S1-DR000200,ACRYLAX-1312S-10,CA9001,F02,PP01,"1,700.000",KG,24-01-19,26-01-19,0001
1027106,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CA9012,F02,PP01,"4,099.350",KG,24-01-19,26-01-19,0001
1027111,RB11,ENAOM1050-BLK20000,BARIASTAR OM-1050,CA9001,F02,PP01,"20,000.000",KG,24-01-19,24-01-19,0001
1027114,RB11,ERABW5600-BLK01200,STRUCT BOND BW-5600,CL8038,F02,PP01,"1,200.000",KG,24-01-19,24-01-19,0001
1027115,RB11,RKVBW3130-DR000100,BONDWOOD-313,CA9001,F02,PP01,"8,000.000",KG,24-01-19,24-01-19,0002
1027119,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA9011,F01,PP01,"4,000.000",KG,24-01-19,25-01-19,0001
1027130,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CA9003,F03,PP01,"10,018.890",KG,24-01-19,26-01-19,0004
1027132,RB11,RKVBW3300-KY000036,BONDWOOD-3300,CA9001,F02,PP01,216.000,KG,24-01-19,24-01-19,0001
1027134,RB11,UGPBU908M-DR000220,THAMOL BU-908(M),CA9001,F03,PP01,"2,119.140",KG,24-01-19,26-01-19,0001
1027138,RB11,UGPH1015A-BLK01000,HARD-1015-A,CA9003,F03,PP01,"10,106.200",KG,24-01-19,26-01-19,0005
1027140,RB11,UGMCM200R-KY000050,COSMONATE M-200,CA9001,F02,PP01,250.000,KG,24-01-19,24-01-19,0001
1027141,RB11,UGMTM1722-DR000230,THAMATE-1722,CA9002,F03,PP01,"5,000.000",KG,24-01-19,26-01-19,0005
1027150,RB11,UGPPR1759-DR000200,THAMOL PR-1759,CA9001,F03,PP01,550.200,KG,24-01-19,26-01-19,0001
