Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027344,RB11,ENFC20200-DR000200,ALMATEX C202,CB9002,F01,PP01,"4,870.000",KG,10-02-19,12-02-19,0002
1027346,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9034,F01,PP01,"8,573.000",KG,10-02-19,12-02-19,0001
1027367,RB11,ENGAL2500-BLK01000,ALMATEX-A-250,CB9002,F02,PP01,"8,969.000",KG,10-02-19,12-02-19,0001
1027368,RB11,RKA335500-DR000200,ACRYLAX-3355,CB9003,F02,PP01,"3,500.300",KG,10-02-19,12-02-19,0001
