Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1026659,RB11,RKOSN500B-CN000250,SN-500B,790109,F01,PP01,"1,399.720",KG,14-01-19,16-01-19,0001
1026660,RB11,RKOSN500B-CN000250,SN-500B,790110,F01,PP01,"1,399.720",KG,14-01-19,16-01-19,0001
1026831,RB11,RKUT90000-DR000120,U-RAMIN T-90,CA9001,F02,PP01,55.400,KG,14-01-19,16-01-19,0001
1026850,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CL8025,F02,PP01,475.000,KG,14-01-19,14-01-19,0001
1026851,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CM8026,F02,PP01,"3,560.000",KG,14-01-19,14-01-19,0001
1026885,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CA9002,F03,PP01,"10,298.000",KG,14-01-19,16-01-19,0002
1026886,RB11,UGP125KTH-DR000200,Actcol TUF-125K(TH),CA9001,F03,PP01,"5,209.440",KG,14-01-19,16-01-19,0004
1026887,RB11,UGPPE7020-DR000200,THAMOL PE-702,CA9001,F03,PP01,"2,043.000",KG,14-01-19,16-01-19,0003
1026888,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CA9006,F03,PP01,"5,625.000",KG,14-01-19,16-01-19,0003
1026889,RB11,UGPMP2164-DR000200,MP-2164(D),CA9003,F03,PP01,"1,788.000",KG,14-01-19,16-01-19,0002
1026890,RB11,UGPWM1388-DR000200,THAMOL WM-1388,CA9003,F03,PP01,"1,003.200",KG,14-01-19,16-01-19,0001
1026905,RB11,RKV6131N2-BLK01000,VINYLAX-6131N2,CA9002,F02,PP01,"7,184.880",KG,14-01-19,16-01-19,0002
1026906,RB11,RKVV25000-DR000100,VINYLAX-25,CA9001,F02,PP01,"4,842.800",KG,14-01-19,16-01-19,0001
1026907,RB11,RKA506000-DR000200,ACRYLAX-506,CA9006,F02,PP01,"9,452.560",KG,14-01-19,16-01-19,0001
1026908,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CA9001,F02,PP01,"5,736.910",KG,14-01-19,16-01-19,0001
1026909,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CA9007,F02,PP01,"4,099.350",KG,14-01-19,16-01-19,0001
1026910,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CA9002,F02,PP01,"1,040.000",KG,14-01-19,16-01-19,0001
1026929,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CM8016,F02,PP01,"3,731.000",KG,14-01-19,14-01-19,0001
1026930,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CA9001,F02,PP01,300.000,KG,14-01-19,14-01-19,0001
1026937,RB11,ENAOM105B-BLK02500,BARIASTAR OM-1050B,CA9001,F02,PP01,"10,210.000",KG,14-01-19,16-01-19,0001
1026938,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9006,F01,PP01,"4,390.000",KG,14-01-19,16-01-19,0002
1026939,RB11,ENR286000-DR000200,U-VAN 28-60,CA9003,F01,PP01,"6,982.000",KG,14-01-19,16-01-19,0001
1026940,RB11,ENR48B000-DR000200,U-VAN 48B,CA9002,F01,PP01,"8,022.000",KG,14-01-19,16-01-19,0001
1026946,RB11,ENFL7003T-DR000200,ALMATEX L7003T,CA9001,F01,PP01,"6,494.200",KG,14-01-19,16-01-19,0002
1026950,RB11,RKPR14100-DR000160,POLYMAL R141,CA9002,F01,PP01,145.000,KG,14-01-19,15-01-19,0001
1026974,RB11,ENGAL9039-DR000200,ALMATEX A-9039,CL8011,F02,PP01,200.000,KG,14-01-19,14-01-19,0001
