Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027558,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CB9003,F02,PP01,"4,000.000",KG,27-02-19,27-02-19,0001
1027612,RB11,ENJQR2020-DR000200,OLESTER QR202,CC9002,F01,PP01,"5,950.000",KG,27-02-19,28-02-19,0002
1027613,RB11,ENR20L65A-DR000200,U-VAN 20LS65A,CC9003,F01,PP01,"3,604.000",KG,27-02-19,28-02-19,0002
1027619,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9024,F01,PP01,"4,000.000",KG,27-02-19,28-02-19,0001
1027648,RB11,RKA9201H0-DR000200,ACRYLAX-9201H,CA9001,F02,PP01,"1,000.000",KG,27-02-19,27-02-19,0001
1027653,RB11,ENJQR331T-DR000200,OLESTER QR331T,XC9001,F01,PP01,218.000,KG,27-02-19,28-02-19,0002
1027699,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CB9007,F03,PP01,"10,298.000",KG,27-02-19,01-03-19,0002
1027700,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CB9006,F03,PP01,"5,507.320",KG,27-02-19,01-03-19,0001
1027701,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CB9016,F03,PP01,"5,625.000",KG,27-02-19,01-03-19,0003
1027702,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9018,F03,PP01,"5,000.000",KG,27-02-19,01-03-19,0005
1027703,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CB9007,F03,PP01,"10,074.000",KG,27-02-19,01-03-19,0010
1027704,RB11,UGPMP2164-DR000200,MP-2164(D),CB9017,F03,PP01,"1,788.000",KG,27-02-19,01-03-19,0002
1027705,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9019,F03,PP01,"1,690.000",KG,27-02-19,01-03-19,0002
1027711,RB11,ESAEM2300-CN000150,ESTAR EM23,CC9001,F01,PP01,100.000,KG,27-02-19,28-02-19,0001
1027720,RB11,UGPBU908M-DR000220,THAMOL BU-908(M),CB9002,F03,PP01,"3,531.900",KG,27-02-19,01-03-19,0001
1027784,RB11,ENGAL2500-DR000200,ALMATEX-A-250,CB9002,F02,PP01,200.000,KG,27-02-19,27-02-19,0001
