Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1026891,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CA9003,F03,PP01,"10,298.000",KG,15-01-19,17-01-19,0002
1026892,RB11,UGPHL4560-DR000200,THAMOL HL-456,CA9001,F03,PP01,"5,176.000",KG,15-01-19,17-01-19,0002
1026893,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CA9007,F03,PP01,"5,625.000",KG,15-01-19,17-01-19,0003
1026894,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CA9002,F03,PP01,"10,074.000",KG,15-01-19,17-01-19,0010
1026895,RB11,UGPMP2164-DR000200,MP-2164(D),CA9004,F03,PP01,"1,788.000",KG,15-01-19,17-01-19,0002
1026911,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CA9003,F02,PP01,"8,029.700",KG,15-01-19,17-01-19,0001
1026912,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CA9002,F02,PP01,"5,200.000",KG,15-01-19,17-01-19,0001
1026913,RB11,RKA506000-DR000200,ACRYLAX-506,CA9007,F02,PP01,"9,452.560",KG,15-01-19,17-01-19,0001
1026914,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CA9002,F02,PP01,"5,736.910",KG,15-01-19,17-01-19,0003
1026915,RB11,RKVBW3200-DR000100,BONDWOOD-3200 (IN),CA9002,F02,PP01,"1,200.000",KG,15-01-19,17-01-19,0001
1026916,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CA9008,F02,PP01,"4,099.350",KG,15-01-19,17-01-19,0001
1026933,RB11,ERABW5600-KY000036,STRUCT BOND BW-5600,CL8038,F02,PP01,"1,053.000",KG,15-01-19,15-01-19,0001
1026941,RB11,ENFB303T0-DR000200,ALMATEX B303T,CA9001,F01,PP01,"6,916.000",KG,15-01-19,17-01-19,0002
1026942,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9007,F01,PP01,"4,390.000",KG,15-01-19,17-01-19,0002
1026943,RB11,ENRMB20T0-DR000200,U-VAN MB20T,CA9001,F01,PP01,"7,484.780",KG,15-01-19,17-01-19,0001
1026951,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA9006,F01,PP01,"4,000.000",KG,15-01-19,16-01-19,0001
1026952,RB11,RKP980200-DR000200,POLYMAL 9802,CA9001,F01,PP01,"15,800.000",KG,15-01-19,17-01-19,0001
1026975,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CA9004,F02,PP01,"5,150.000",KG,15-01-19,15-01-19,0002
1026976,RB11,RKVBW3300-KY000036,BONDWOOD-3300,CL8007,F02,PP01,144.000,KG,15-01-19,15-01-19,0001
1026978,RB11,UGPCL1696-DR000200,THAMOL CL-1696,CA9001,F03,PP01,966.000,KG,15-01-19,17-01-19,0002
