Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1026836,RB11,RKA502900-DR000100,ACRYLAX-5029,CA9001,F02,PP01,"1,820.270",KG,18-01-19,20-01-19,0001
1026957,RB11,RKOSN500A-CN000250,SN-500A,790105W,F01,PP01,"1,275.650",KG,18-01-19,20-01-19,0002
1026958,RB11,RKOSN500A-CN000250,SN-500A,790106W,F01,PP01,"1,275.650",KG,18-01-19,20-01-19,0002
1026965,RB11,ENJQ16600-DR000200,OLESTER Q166,CA9001,F01,PP01,"5,261.000",KG,18-01-19,20-01-19,0003
1026966,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9010,F01,PP01,"4,390.000",KG,18-01-19,20-01-19,0002
1026981,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CA9005,F02,PP01,"5,213.000",KG,18-01-19,18-01-19,0002
1026996,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CA9004,F03,PP01,"10,028.190",KG,18-01-19,20-01-19,0001
1026997,RB11,UGPHR1333-DR000200,THAMOL HR-1333,CA9002,F03,PP01,"3,083.430",KG,18-01-19,20-01-19,0002
1026998,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CA9009,F03,PP01,"5,625.000",KG,18-01-19,20-01-19,0003
1026999,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CA9002,F03,PP01,"9,968.700",KG,18-01-19,20-01-19,0006
1027000,RB11,RKA730700-DR000100,ACRYLAX-7307,CA9002,F02,PP01,"8,500.000",KG,18-01-19,20-01-19,0001
1027003,RB11,RKVV70600-DR000100,VINYLAX-706,CA9001,F02,PP01,"3,000.000",KG,18-01-19,20-01-19,0001
1027004,RB11,RKABEM100-BLK01000,BARIASTAR BEM-1,CA9001,F02,PP01,"10,252.200",KG,18-01-19,20-01-19,0001
1027006,RB11,ENGALA297-DR000200,ALMATEX-A-297,CA9001,F02,PP01,"7,935.000",KG,18-01-19,20-01-19,0001
1027008,RB11,ENGA264FT-DR000200,ALMATEX E264FT,CA9001,F02,PP01,"5,200.000",KG,18-01-19,20-01-19,0001
1027010,RB11,RKUP61020-BLK01000,U-RAMIN P-6102,CA9001,F02,PP01,"4,061.000",KG,18-01-19,20-01-19,0001
1027036,RB11,UGMCM200R-KY000050,COSMONATE M-200,CA9001,F02,PP01,250.000,KG,18-01-19,18-01-19,0001
1027037,RB11,UGPIF9020-DR000200,THAMOL IF-902,CA9001,F03,PP01,820.960,KG,18-01-19,20-01-19,0001
1027088,RB11,ENR122000-DR000200,U-VAN 122,CA9001,F01,PP01,"1,467.000",KG,18-01-19,19-01-19,0001
