Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027428,RB11,RKA506000-DR000200,ACRYLAX-506,CB9016,F02,PP01,"9,452.560",KG,16-02-19,18-02-19,0001
1027460,RB11,ENFL20010-DR000200,ALMATEX L2001,CB9001,F01,PP01,"6,060.300",KG,16-02-19,18-02-19,0002
1027461,RB11,ENR36T000-DR000200,U-VAN 36T,CB9001,F01,PP01,"4,346.900",KG,16-02-19,18-02-19,0002
1027462,RB11,ENR236HV0-DR000200,U-VAN 236HV,CB9002,F01,PP01,"7,286.000",KG,16-02-19,18-02-19,0001
1027470,RB11,RKOSN500A-CN000250,SN-500A,790206W,F01,PP01,"1,275.650",KG,16-02-19,18-02-19,0002
1027480,RB11,ENGAL9039-BLK01000,ALMATEX-A-9039,CA9001,F02,PP01,"5,000.000",KG,16-02-19,16-02-19,0001
1027502,RB11,ERAVU8800-DR000100,STRUCT BOND VU-880,CM8017,F02,PP01,"1,167.000",KG,16-02-19,16-02-19,0001
1027506,RB11,RKO10P117-BLK01200,10%POLY VINYL ALCOHOL 117S,CB9001,F02,PP01,"8,099.740",KG,16-02-19,18-02-19,0001
1027507,RB11,RKVV70600-DR000100,VINYLAX-706,CB9002,F02,PP01,"3,000.000",KG,16-02-19,18-02-19,0001
1027508,RB11,ENGAL9039-BLK02500,ALMATEX-A-9039,CB9002,F02,PP01,"5,000.000",KG,16-02-19,18-02-19,0001
1027509,RB11,RKA9612BT-BLK06000,ACRYLAX-9612BT,CB9015,F02,PP01,"5,333.200",KG,16-02-19,18-02-19,0001
1027510,RB11,ENG5087SE-DR000200,ALMATEX-A-5087SE,CB9001,F02,PP01,"1,700.000",KG,16-02-19,18-02-19,0001
1027511,RB11,RKUT30500-DR000100,U-RAMIN T-305,CB9001,F02,PP01,"2,082.340",KG,16-02-19,18-02-19,0001
1027539,RB11,ENJQC300G-DR000200,OLESTER QC300G,CB9002,F01,PP01,476.200,KG,16-02-19,20-02-19,0003
1027546,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9011,F03,PP01,"1,690.000",KG,16-02-19,18-02-19,0004
1027548,RB11,UGPVB443A-BLK01000,VB-443-A,CB9005,F03,PP01,"4,973.060",KG,16-02-19,18-02-19,0002
1027549,RB11,UGPPE7020-DR000200,THAMOL PE-702,CB9002,F03,PP01,"2,043.000",KG,16-02-19,18-02-19,0003
1027550,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9012,F03,PP01,"5,000.000",KG,16-02-19,18-02-19,0008
1027551,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CB9005,F03,PP01,"9,955.540",KG,16-02-19,18-02-19,0004
1027552,RB11,UGPMP2164-DR000200,MP-2164(D),CB9014,F03,PP01,"1,788.000",KG,16-02-19,18-02-19,0002
1027554,RB11,UGPGR84TR-DR000210,ACTCOL GR-84T,CB9003,F03,PP01,"3,150.000",KG,16-02-19,18-02-19,0001
