Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027464,RB11,ENRMB30T0-DR000200,U-VAN MB30T,CB9002,F01,PP01,"7,178.000",KG,20-02-19,22-02-19,0001
1027473,RB11,RKOSN500A-CN000250,SN-500A,790209W,F01,PP01,"1,275.650",KG,20-02-19,22-02-19,0002
1027474,RB11,RKOSN500A-CN000250,SN-500A,790210W,F01,PP01,"1,275.650",KG,20-02-19,22-02-19,0002
1027482,RB11,RKA731300-BX000020,ACRYLAX-7313,CB9001,F02,PP01,"1,200.000",KG,20-02-19,20-02-19,0001
1027504,RB11,RKA106500-BLK01000,ACRYLAX-1065,CA9002,F02,PP01,"3,728.000",KG,20-02-19,20-02-19,0001
1027525,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CB9007,F02,PP01,"8,029.700",KG,20-02-19,22-02-19,0001
1027527,RB11,RKA405000-DR000100,ACRYLAX-405,CB9002,F02,PP01,"5,034.000",KG,20-02-19,22-02-19,0001
1027528,RB11,RKA101200-DR000200,ACRYLAX-1012,CB9001,F02,PP01,"1,700.000",KG,20-02-19,22-02-19,0002
1027530,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9024,F02,PP01,"4,099.350",KG,20-02-19,22-02-19,0001
1027559,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CB9003,F01,PP01,"6,920.800",KG,20-02-19,22-02-19,0002
1027560,RB11,ENR20SE65-DR000200,U-VAN 20SE65,CB9002,F01,PP01,"4,009.000",KG,20-02-19,22-02-19,0002
1027563,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9021,F01,PP01,"4,000.000",KG,20-02-19,21-02-19,0001
1027574,RB11,ENR220000-DR000200,U-VAN 220,CB9002,F01,PP01,244.040,KG,20-02-19,28-02-19,0001
1027575,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB8025,F02,PP01,"4,099.350",KG,20-02-19,22-02-19,0001
