Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027026,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9015,F01,PP01,"4,390.000",KG,25-01-19,27-01-19,0002
1027027,RB11,ENR128000-DR000200,U-VAN 128,CA9002,F01,PP01,"7,003.000",KG,25-01-19,27-01-19,0003
1027028,RB11,ENR286000-DR000200,U-VAN 28-60,CA9004,F01,PP01,"6,982.000",KG,25-01-19,27-01-19,0001
1027077,RB11,ENJBWT028-DR000200,OLESTER BWT-028,CA9003,F01,PP01,"6,300.000",KG,25-01-19,27-01-19,0001
1027107,RB11,RKA106500-BLK02500,ACRYLAX-1065,CA9002,F02,PP01,"10,206.600",KG,25-01-19,27-01-19,0001
1027108,RB11,RKA405000-DR000100,ACRYLAX-405,CA9002,F02,PP01,"5,034.000",KG,25-01-19,27-01-19,0001
1027109,RB11,RKVBW3200-DR000100,BONDWOOD-3200 (IN),CA9003,F02,PP01,"1,200.000",KG,25-01-19,27-01-19,0001
1027110,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CA9013,F02,PP01,"4,099.350",KG,25-01-19,27-01-19,0001
1027120,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA9012,F01,PP01,"4,000.000",KG,25-01-19,27-01-19,0001
1027139,RB11,ERAVU8800-DR000100,STRUCT BOND VU-880,CM8017,F02,PP01,"1,098.000",KG,25-01-19,25-01-19,0001
1027147,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CA9007,F03,PP01,"10,117.220",KG,25-01-19,27-01-19,0006
1027148,RB11,UGPSP1549-DR000200,THAMOL SP-1549,CA9002,F03,PP01,"2,011.890",KG,25-01-19,27-01-19,0004
1027149,RB11,UGMTM1722-DR000230,THAMATE-1722,CA9003,F03,PP01,"5,000.000",KG,25-01-19,27-01-19,0005
