Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1026657,RB11,RKOSN500B-CN000250,SN-500B,790107,F01,PP01,"1,399.720",KG,11-01-19,13-01-19,0001
1026658,RB11,RKOSN500B-CN000250,SN-500B,790108,F01,PP01,"1,399.720",KG,11-01-19,13-01-19,0001
1026795,RB11,ENJAO5490-DR000200,OLESTER AO-549,CA9001,F01,PP01,"7,117.500",KG,11-01-19,13-01-19,0001
1026796,RB11,ENFL5446T-DR000200,ALMATEX L5446T,CA9001,F01,PP01,"7,342.800",KG,11-01-19,13-01-19,0001
1026797,RB11,ENR48B000-DR000200,U-VAN 48B,CA9001,F01,PP01,"8,022.000",KG,11-01-19,13-01-19,0001
1026798,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA9005,F01,PP01,"4,000.000",KG,11-01-19,12-01-19,0001
1026843,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CA9001,F02,PP01,"5,200.000",KG,11-01-19,13-01-19,0001
1026844,RB11,RKA890700-BLK02500,ACRYLAX-8907,CA9001,F02,PP01,"10,178.780",KG,11-01-19,13-01-19,0001
1026845,RB11,RKA9612BT-BLK06000,ACRYLAX-9612BT,CA9005,F02,PP01,"5,333.200",KG,11-01-19,13-01-19,0001
1026846,RB11,RKUP55000-BLK01000,U-RAMIN P-5500,CA9002,F02,PP01,"4,620.320",KG,11-01-19,13-01-19,0001
1026847,RB11,ENGSE3100-BLK20000,ALMATEX SE310,CA9001,F02,PP01,"20,000.000",KG,11-01-19,11-01-19,0001
1026852,RB11,RKA950900-BLK01000,ACRYLAX-9509,CM8029,F02,PP01,"9,894.000",KG,11-01-19,11-01-19,0001
1026860,RB11,ERABW5600-KY000036,STRUCT BOND BW-5600,CL8038,F02,PP01,"1,234.000",KG,11-01-19,11-01-19,0001
1026861,RB11,ERAVU8800-KY000036,STRUCT BOND VU-880,CM8017,F02,PP01,108.000,KG,11-01-19,11-01-19,0001
1026881,RB11,UGPSP1549-DR000200,THAMOL SP-1549,CA9001,F03,PP01,"1,547.610",KG,11-01-19,13-01-19,0004
1026882,RB11,UGPBK009A-BLK01000,BACK-009-A,CA9001,F03,PP01,"8,104.640",KG,11-01-19,13-01-19,0005
1026883,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CA9005,F03,PP01,"5,625.000",KG,11-01-19,13-01-19,0003
1026884,RB11,UGPCR1005-DR000200,THAMOL CR-1005,CA9001,F03,PP01,195.680,KG,11-01-19,13-01-19,0001
1026928,RB11,RKA508800-DR000100,ACRYLAX-5088,CA9001,F02,PP01,"1,700.000",KG,11-01-19,13-01-19,0001
1026935,RB11,UGMCM200R-KY000050,COSMONATE M-200,CL8005,F02,PP01,250.000,KG,11-01-19,11-01-19,0001
