Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027493,RB11,ENJBWT028-DR000200,OLESTER BWT-028,CB9005,F01,PP01,"6,300.000",KG,19-02-19,21-02-19,0001
1027494,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9041,F01,PP01,"4,390.000",KG,19-02-19,21-02-19,0002
1027497,RB11,ENR128000-DR000200,U-VAN 128,CB9007,F01,PP01,"3,758.000",KG,19-02-19,21-02-19,0002
1027498,RB11,ENR925T70-DR000200,U-VAN 925T-70,CB9003,F01,PP01,"8,114.000",KG,19-02-19,21-02-19,0001
1027523,RB11,RKA105700-DR000200,ACRYLAX-1057,CB9002,F02,PP01,"8,709.000",KG,19-02-19,21-02-19,0001
1027524,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CB9009,F02,PP01,"5,736.910",KG,19-02-19,21-02-19,0001
