Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027290,RB11,ENGAL2910-BLK01000,ALMATEX-A-291,CB9002,F02,PP01,"10,493.000",KG,09-02-19,11-02-19,0001
1027313,RB11,ENJQR331T-DR000200,OLESTER QR331T,CB9005,F01,PP01,"6,492.000",KG,09-02-19,11-02-19,0001
1027340,RB11,ENFC20200-DR000200,ALMATEX C202,CB9001,F01,PP01,"4,870.000",KG,09-02-19,11-02-19,0002
1027341,RB11,ENR128000-DR000200,U-VAN 128,CB9006,F01,PP01,"3,758.000",KG,09-02-19,11-02-19,0002
1027342,RB11,ENR286000-DR000200,U-VAN 28-60,CB9005,F01,PP01,"6,982.000",KG,09-02-19,11-02-19,0001
1027343,RB11,ENR48B000-DR000200,U-VAN 48B,CB9006,F01,PP01,"8,022.000",KG,09-02-19,11-02-19,0001
1027398,RB11,ERABW5600-BLK01200,STRUCT BOND BW-5600,CA9003,F02,PP01,"2,400.000",KG,09-02-19,09-02-19,0001
1027438,RB11,RKAL9086P-DR000200,ALMATEX-A-9086P,CB9002,F02,PP01,"7,289.100",KG,09-02-19,11-02-19,0001
