Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027604,RB11,RKA3345P0-DR000200,ACRYLAX-3345P,CB9008,F02,PP01,"5,500.000",KG,28-02-19,28-02-19,0001
1027614,RB11,ENFL20010-DR000200,ALMATEX L2001,CC9002,F01,PP01,"6,060.300",KG,28-02-19,28-02-19,0002
1027615,RB11,ENR48B000-DR000200,U-VAN 48B,CC9010,F01,PP01,"4,803.000",KG,28-02-19,28-02-19,0002
1027616,RB11,ENR128000-DR000200,U-VAN 128,CC9008,F01,PP01,"7,002.000",KG,28-02-19,28-02-19,0003
1027641,RB11,ENABM1000-BLK20000,BARIASTAR BM-1000,CC9002,F02,PP01,"20,000.000",KG,28-02-19,28-02-19,0001
1027649,RB11,RKA106500-BLK01000,ACRYLAX-1065,CB9003,F02,PP01,"10,670.000",KG,28-02-19,28-02-19,0001
1027650,RB11,RKVVSC032-DR000200,VINYSOL-C-032,CM8006,F02,PP01,"1,000.000",KG,28-02-19,28-02-19,0001
1027706,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CB9013,F03,PP01,"9,579.070",KG,28-02-19,02-03-19,0006
1027707,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CB9017,F03,PP01,"5,625.000",KG,28-02-19,02-03-19,0003
1027708,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9020,F03,PP01,"5,000.000",KG,28-02-19,02-03-19,0005
1027709,RB11,UGPH1015A-BLK01000,HARD-1015-A,CB9006,F03,PP01,"10,124.600",KG,28-02-19,02-03-19,0006
1027710,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CB9009,F03,PP01,"1,580.000",KG,28-02-19,02-03-19,0001
1027721,RB11,UGPBU908M-DR000220,THAMOL BU-908(M),CB9003,F03,PP01,"2,119.140",KG,28-02-19,02-03-19,0001
1027722,RB11,ERABW5600-KY000036,STRUCT BOND BW-5600,CA9003,F02,PP01,"1,228.000",KG,28-02-19,28-02-19,0001
1027781,RB11,UGPIB6080-DR000200,THAMOL IB-608,CB9001,F03,PP01,"1,050.000",KG,28-02-19,02-03-19,0001
1027783,RB11,ENGAL9009-DR000100,ALMATEX-A-9009,CB9005,F02,PP01,600.000,KG,28-02-19,28-02-19,0001
