Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027159,RB11,RKV282NS0-BLK01000,VINYLAX-282NS,CB8002,F02,PP01,"11,007.000",KG,02-02-19,04-02-19,0001
1027168,RB11,RKA506000-DR000200,ACRYLAX-506,CB9012,F02,PP01,"9,452.560",KG,02-02-19,04-02-19,0001
1027169,RB11,ENGAL9086-DR000200,ALMATEX-A-9086,CB9003,F02,PP01,"7,400.000",KG,02-02-19,04-02-19,0001
1027170,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CB9004,F02,PP01,"5,736.910",KG,02-02-19,04-02-19,0001
1027171,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9015,F02,PP01,"4,099.350",KG,02-02-19,04-02-19,0001
1027172,RB11,ENABM1000-BLK20000,BARIASTAR BM-1000,CB9001,F02,PP01,"20,000.000",KG,02-02-19,02-02-19,0001
1027197,RB11,ENJBWT028-DR000200,OLESTER BWT-028,CB9004,F01,PP01,"6,300.000",KG,02-02-19,04-02-19,0001
1027198,RB11,RKP9762A0-DR000200,POLYMAL 9762A,CB9001,F01,PP01,"6,012.000",KG,02-02-19,04-02-19,0001
1027199,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9025,F01,PP01,"8,573.000",KG,02-02-19,04-02-19,0001
1027200,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9026,F01,PP01,"8,573.000",KG,02-02-19,04-02-19,0001
1027240,RB11,ENGAL2890-BLK01000,ALMATEX-A-289,CB9002,F02,PP01,"10,419.530",KG,02-02-19,04-02-19,0001
1027250,RB11,RKVBW3006-DR000100,BONDWOOD-3006,CM8008,F02,PP01,"2,543.000",KG,02-02-19,02-02-19,0002
1027263,RB11,UGPVB443A-BLK01000,VB-443-A,CB9004,F03,PP01,"5,081.170",KG,02-02-19,04-02-19,0002
1027264,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CB9011,F03,PP01,"5,625.000",KG,02-02-19,04-02-19,0003
1027265,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9006,F03,PP01,"5,000.000",KG,02-02-19,04-02-19,0005
1027266,RB11,UGMAX662T-CN000018,HIPRENE AX-662,CB9001,F03,PP01,900.000,KG,02-02-19,04-02-19,0001
