Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027187,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9023,F01,PP01,"8,573.000",KG,31-01-19,02-02-19,0001
1027236,RB11,RKA731300-BX000020,ACRYLAX-7313,CM8014,F02,PP01,906.000,KG,31-01-19,31-01-19,0001
1027247,RB11,UGMCM200R-KY000054,COSMONATE M-200,CA9001,F02,PP01,250.000,KG,31-01-19,31-01-19,0001
1027252,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CA9005,F03,PP01,"10,298.000",KG,31-01-19,02-02-19,0002
1027253,RB11,UGP030400-DR000200,XRF-0304,CA9001,F03,PP01,"4,400.000",KG,31-01-19,02-02-19,0001
1027254,RB11,UGMTM1722-DR000230,THAMATE-1722,CA9004,F03,PP01,"5,000.000",KG,31-01-19,02-02-19,0005
1027255,RB11,UGPMP2164-DR000200,MP-2164(D),CA9007,F03,PP01,"1,788.000",KG,31-01-19,02-02-19,0002
