Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027177,RB11,RKA9612BT-BLK06000,ACRYLAX-9612BT,CB9012,F02,PP01,"5,333.200",KG,06-02-19,08-02-19,0001
1027266,RB11,UGMAX662T-CN000018,HIPRENE AX-662,CB9001,F03,PP01,900.000,KG,06-02-19,08-02-19,0001
1027269,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9007,F03,PP01,"5,000.000",KG,06-02-19,08-02-19,0004
1027277,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CB9005,F02,PP01,"8,029.700",KG,06-02-19,08-02-19,0001
1027278,RB11,RKVV281L0-BLK01000,VINYLAX-281L,CB9002,F02,PP01,"5,151.000",KG,06-02-19,08-02-19,0001
1027279,RB11,RKA890700-BLK02500,ACRYLAX-8907,CB9002,F02,PP01,"10,178.780",KG,06-02-19,08-02-19,0001
1027280,RB11,ENGSE2013-DR000200,ALMATEX SE 2013,CB9001,F02,PP01,"1,500.000",KG,06-02-19,08-02-19,0001
1027281,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9017,F02,PP01,"4,099.350",KG,06-02-19,08-02-19,0001
1027282,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CB9005,F02,PP01,"1,040.000",KG,06-02-19,08-02-19,0001
1027302,RB11,RKOSN500B-CN000250,SN-500B,790206,F01,PP01,"1,399.720",KG,06-02-19,08-02-19,0001
1027303,RB11,RKOSN500B-CN000250,SN-500B,790207,F01,PP01,"1,399.720",KG,06-02-19,08-02-19,0001
1027308,RB11,ENJQC4175-DR000200,OLESTER QC417-5,CB9001,F01,PP01,"7,023.400",KG,06-02-19,08-02-19,0001
1027309,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9030,F01,PP01,"4,390.000",KG,06-02-19,08-02-19,0002
1027310,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9031,F01,PP01,"4,390.000",KG,06-02-19,08-02-19,0002
1027323,RB11,UGMCM200R-KY000054,COSMONATE M-200,CA9001,F02,PP01,250.000,KG,06-02-19,06-02-19,0001
1027330,RB11,UGPSD1538-DR000200,THAMOL SD-1538,CB9003,F03,PP01,"5,000.000",KG,06-02-19,08-02-19,0001
1027332,RB11,UGPBK009A-BLK01000,BACK-009-A,CB9003,F03,PP01,"9,917.520",KG,06-02-19,08-02-19,0005
1027333,RB11,UGPMP2164-DR000200,MP-2164(D),CB9009,F03,PP01,"1,788.000",KG,06-02-19,08-02-19,0002
1027347,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9015,F01,PP01,"4,000.000",KG,06-02-19,07-02-19,0001
1027361,RB11,ENGAL2890-DR000200,ALMATEX-A-289,CB9002,F02,PP01,"4,000.000",KG,06-02-19,06-02-19,0001
1027380,RB11,UGMTM1835-DR000230,THAMATE-1835,CB9001,F03,PP01,948.000,KG,06-02-19,08-02-19,0002
1027393,RB11,UGPCS1688-DR000200,THAMOL CS-1688,CB9001,F03,PP01,578.000,KG,06-02-19,08-02-19,0001
