Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027471,RB11,RKOSN500A-CN000250,SN-500A,790207W,F01,PP01,"1,275.650",KG,18-02-19,20-02-19,0002
1027472,RB11,RKOSN500A-CN000250,SN-500A,790208W,F01,PP01,"1,275.650",KG,18-02-19,20-02-19,0002
1027486,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CA9011,F02,PP01,"6,100.000",KG,18-02-19,18-02-19,0002
1027491,RB11,ENJQR331T-DR000200,OLESTER QR331T,CB9007,F01,PP01,"6,492.000",KG,18-02-19,20-02-19,0001
1027492,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9040,F01,PP01,"4,390.000",KG,18-02-19,20-02-19,0002
1027514,RB11,RKV6131N3-BLK01000,VINYLAX-6131N3,CB9005,F02,PP01,"7,184.880",KG,18-02-19,20-02-19,0002
1027515,RB11,RKVV281L0-BLK01000,VINYLAX-281L,CB9003,F02,PP01,"3,714.400",KG,18-02-19,20-02-19,0001
1027516,RB11,RKA950900-BLK02500,ACRYLAX-9509,CB9004,F02,PP01,"10,577.240",KG,18-02-19,20-02-19,0001
1027517,RB11,RKA106500-BLK02500,ACRYLAX-1065,CB9004,F02,PP01,"10,206.600",KG,18-02-19,20-02-19,0002
1027518,RB11,ENGAL9009-BLK01000,ALMATEX-A-9009,CB9005,F02,PP01,"5,111.000",KG,18-02-19,20-02-19,0001
1027519,RB11,RKA221400-DRN00120,ACRYLAX-2214,CB9001,F02,PP01,"1,700.000",KG,18-02-19,20-02-19,0001
1027520,RB11,RKUP55000-BLK01000,U-RAMIN P-5500,CB9007,F02,PP01,"4,620.320",KG,18-02-19,20-02-19,0001
1027521,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9023,F02,PP01,"4,099.350",KG,18-02-19,20-02-19,0001
1027522,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CB9008,F02,PP01,"1,040.000",KG,18-02-19,20-02-19,0001
1027562,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9020,F01,PP01,"4,000.000",KG,18-02-19,19-02-19,0001
