Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1026899,RB11,UGMTU125B-DR000230,COSMONATE TUF-125B,CA9002,F03,PP01,"2,000.000",KG,23-01-19,25-01-19,0001
1026931,RB11,RKA731300-BX000020,ACRYLAX-7313,CL8013,F02,PP01,804.000,KG,23-01-19,23-01-19,0001
1026932,RB11,RKA731300-BX000020,ACRYLAX-7313,CM8014,F02,PP01,"1,220.000",KG,23-01-19,23-01-19,0001
1026964,RB11,RKOSN500A-CN000250,SN-500A,790112W,F01,PP01,"1,275.650",KG,23-01-19,25-01-19,0002
1026982,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CA9006,F02,PP01,"5,150.000",KG,23-01-19,23-01-19,0002
1027009,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9013,F01,PP01,"8,573.000",KG,23-01-19,25-01-19,0001
1027018,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9014,F01,PP01,"4,390.000",KG,23-01-19,25-01-19,0002
1027035,RB11,RKA890700-BLK01000,ACRYLAX-8907,CM8024,F02,PP01,"10,247.000",KG,23-01-19,23-01-19,0001
1027041,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CA9007,F02,PP01,"5,150.000",KG,23-01-19,23-01-19,0002
1027056,RB11,RKVBW3130-BLK01000,BONDWOOD-313,CA9001,F02,PP01,"10,191.490",KG,23-01-19,25-01-19,0001
1027057,RB11,ENGWA159N-DR000200,ALMATEX WA159N1,CA9002,F02,PP01,"9,290.360",KG,23-01-19,25-01-19,0001
1027058,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CA9003,F02,PP01,"5,736.910",KG,23-01-19,25-01-19,0001
1027059,RB11,RKA3341HB-BLK01000,ACRYLAX-3341HB,CA9002,F02,PP01,"1,070.980",KG,23-01-19,25-01-19,0001
1027060,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CA9011,F02,PP01,"4,099.350",KG,23-01-19,25-01-19,0001
1027064,RB11,RKA3345P0-DR000200,ACRYLAX-3345P,CA9002,F02,PP01,"5,450.000",KG,23-01-19,23-01-19,0001
1027066,RB11,RKA890700-BLK01000,ACRYLAX-8907,CA9001,F02,PP01,"2,000.000",KG,23-01-19,23-01-19,0001
1027070,RB11,ENJAO5490-DR000200,OLESTER AO-549,CA9002,F01,PP01,"7,117.500",KG,23-01-19,25-01-19,0001
1027071,RB11,ENJAO5490-DR000200,OLESTER AO-549,CA9003,F01,PP01,"7,117.500",KG,23-01-19,25-01-19,0001
1027083,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CA9006,F03,PP01,"9,901.960",KG,23-01-19,25-01-19,0006
1027084,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CA9004,F03,PP01,"10,074.000",KG,23-01-19,25-01-19,0010
1027085,RB11,UGMTM1788-DR000230,THAMATE-1788,CA9005,F03,PP01,"1,650.000",KG,23-01-19,25-01-19,0002
1027116,RB11,ENGAL2500-DR000200,ALMATEX-A-250,CA9001,F02,PP01,200.000,KG,23-01-19,23-01-19,0001
1027118,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA9010,F01,PP01,"4,000.000",KG,23-01-19,24-01-19,0001
1027129,RB11,UGPBU928S-DR000220,THAMOL BU-928(S),CA9001,F03,PP01,"1,663.200",KG,23-01-19,25-01-19,0001
