Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027526,RB11,RKV282NS0-BLK01000,VINYLAX-282NS,CB9004,F02,PP01,"5,503.500",KG,26-02-19,28-02-19,0001
1027529,RB11,RKUT80000-DR000200,U-RAMIN T-80,CB9001,F02,PP01,"5,219.000",KG,26-02-19,28-02-19,0001
1027608,RB11,ENJQ266T0-DR000200,OLESTER Q266T,CC9002,F01,PP01,"3,048.950",KG,26-02-19,28-02-19,0001
1027609,RB11,ENR286000-DR000200,U-VAN 28-60,CB9009,F01,PP01,"3,708.000",KG,26-02-19,28-02-19,0002
1027610,RB11,ENR286000-DR000200,U-VAN 28-60,CC9010,F01,PP01,"3,708.000",KG,26-02-19,28-02-19,0002
1027611,RB11,ENRMB20T0-DR000200,U-VAN MB20T,CC9003,F01,PP01,"7,484.780",KG,26-02-19,28-02-19,0001
1027618,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9023,F01,PP01,"4,000.000",KG,26-02-19,27-02-19,0001
1027621,RB11,ENGAL2500-BLK01000,ALMATEX-A-250,CB9003,F02,PP01,"8,969.000",KG,26-02-19,28-02-19,0001
1027622,RB11,ENGAL2890-BLK01000,ALMATEX-A-289,CB9003,F02,PP01,"10,419.530",KG,26-02-19,28-02-19,0001
1027623,RB11,RKA750200-DR000200,ACRYLAX-7502,CB9003,F02,PP01,"4,470.700",KG,26-02-19,28-02-19,0001
1027624,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9026,F02,PP01,"4,099.350",KG,26-02-19,28-02-19,0001
1027654,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CB9006,F03,PP01,"10,298.000",KG,26-02-19,28-02-19,0002
1027655,RB11,UGPCL1799-DR000200,THAMOL CL-1799,CB9001,F03,PP01,"5,031.000",KG,26-02-19,28-02-19,0001
1027656,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CB9015,F03,PP01,"5,625.000",KG,26-02-19,28-02-19,0003
1027657,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9017,F03,PP01,"5,000.000",KG,26-02-19,28-02-19,0005
1027658,RB11,UGPVB443A-BLK01000,VB-443-A,CB9006,F03,PP01,"10,000.000",KG,26-02-19,28-02-19,0004
1027659,RB11,UGPMP2164-DR000200,MP-2164(D),CB9016,F03,PP01,"1,788.000",KG,26-02-19,28-02-19,0002
1027660,RB11,UGMTM1788-DR000230,THAMATE-1788,CB9008,F03,PP01,"1,650.000",KG,26-02-19,28-02-19,0001
1027661,RB11,ERABW5600-BLK01200,STRUCT BOND BW-5600,CA9003,F02,PP01,"1,200.000",KG,26-02-19,26-02-19,0001
