Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027181,RB11,RKA9612BT-BLK06000,ACRYLAX-9612BT,CB9013,F02,PP01,"5,333.200",KG,07-02-19,09-02-19,0001
1027209,RB11,ENR128000-DR000200,U-VAN 128,CB9005,F01,PP01,"6,800.000",KG,07-02-19,09-02-19,0003
1027271,RB11,UGMAX662T-CN000018,HIPRENE AX-662,CB9002,F03,PP01,"1,030.000",KG,07-02-19,09-02-19,0001
1027283,RB11,RKV6131N2-BLK01000,VINYLAX-6131N2,CB9004,F02,PP01,"7,184.880",KG,07-02-19,09-02-19,0002
1027284,RB11,RKA731300-BLK01000,ACRYLAX-7313,CB9001,F02,PP01,"2,212.270",KG,07-02-19,09-02-19,0001
1027286,RB11,RKA106500-BLK02500,ACRYLAX-1065,CB9003,F02,PP01,"10,206.600",KG,07-02-19,09-02-19,0001
1027287,RB11,RKA220000-DR000200,ACRYLAX-2200,CB9001,F02,PP01,"1,700.000",KG,07-02-19,09-02-19,0001
1027288,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9018,F02,PP01,"4,099.350",KG,07-02-19,09-02-19,0001
1027304,RB11,RKOSN500B-CN000250,SN-500B,790208,F01,PP01,"1,399.720",KG,07-02-19,09-02-19,0001
1027311,RB11,ENJQ70000-DR000200,OLESTER Q700,CB9001,F01,PP01,"3,520.000",KG,07-02-19,09-02-19,0001
1027319,RB11,ENGAL9009-DR000100,ALMATEX-A-9009,CA9002,F02,PP01,100.000,KG,07-02-19,07-02-19,0001
1027327,RB11,RKA106500-BLK01000,ACRYLAX-1065,CA9002,F02,PP01,"4,000.000",KG,07-02-19,07-02-19,0001
1027331,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9008,F03,PP01,"5,000.000",KG,07-02-19,09-02-19,0005
1027335,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CB9004,F03,PP01,"10,018.890",KG,07-02-19,09-02-19,0004
1027336,RB11,UGMTU125B-DR000230,COSMONATE TUF-125B,CB9003,F03,PP01,"2,000.000",KG,07-02-19,09-02-19,0001
1027338,RB11,UGPH1015A-BLK01000,HARD-1015-A,CB9004,F03,PP01,"9,886.500",KG,07-02-19,09-02-19,0005
1027339,RB11,UGPAF1502-DR000200,THAMOL AF-1502,CB9002,F03,PP01,"1,129.600",KG,07-02-19,09-02-19,0001
1027356,RB11,UGPSP1549-DR000200,THAMOL SP-1549,CB9003,F03,PP01,"2,526.400",KG,07-02-19,09-02-19,0002
1027362,RB11,RKVBW3006-DR000100,BONDWOOD-3006,CB9001,F02,PP01,"5,520.000",KG,07-02-19,07-02-19,0002
1027391,RB11,UGMAX616T-CN000018,HIPRENE AX-616,CB9001,F03,PP01,418.000,KG,07-02-19,09-02-19,0001
