Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027354,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CA9001,F02,PP01,400.000,KG,14-02-19,14-02-19,0001
1027355,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CA9002,F02,PP01,"3,409.000",KG,14-02-19,14-02-19,0001
1027357,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CB9003,F02,PP01,280.000,KG,14-02-19,14-02-19,0001
1027418,RB11,RKVV22100-DR000100,VINYLAX-221,CB9004,F02,PP01,"8,661.220",KG,14-02-19,16-02-19,0001
1027419,RB11,RKA180100-DR000100,ACRYLAX-1801,CB9002,F02,PP01,"3,593.350",KG,14-02-19,16-02-19,0001
1027420,RB11,RKA506000-DR000200,ACRYLAX-506,CB9015,F02,PP01,"9,452.560",KG,14-02-19,16-02-19,0001
1027421,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CB9008,F02,PP01,"5,736.910",KG,14-02-19,16-02-19,0001
1027422,RB11,RKVBW3200-DR000100,BONDWOOD-3200 (IN),CB9004,F02,PP01,"1,200.000",KG,14-02-19,16-02-19,0001
1027423,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9022,F02,PP01,"4,099.350",KG,14-02-19,16-02-19,0001
1027424,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CB9007,F02,PP01,"1,040.000",KG,14-02-19,16-02-19,0001
1027435,RB11,ENABM100B-BLK02500,BARIASTAR BM-1000B,CB9004,F02,PP01,"10,060.370",KG,14-02-19,16-02-19,0002
1027455,RB11,ENJQR331T-DR000200,OLESTER QR331T,CB9006,F01,PP01,"6,492.000",KG,14-02-19,16-02-19,0001
1027456,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9037,F01,PP01,"4,390.000",KG,14-02-19,16-02-19,0002
1027457,RB11,ENR225000-DR000200,U-VAN 225,CB9002,F01,PP01,"4,836.200",KG,14-02-19,16-02-19,0001
1027467,RB11,RKOSN500A-CN000250,SN-500A,790203W,F01,PP01,"1,275.650",KG,14-02-19,16-02-19,0002
1027488,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9018,F01,PP01,"4,000.000",KG,14-02-19,15-02-19,0001
1027505,RB11,RKA105700-DR000080,ACRYLAX-1057,CB9001,F02,PP01,"5,000.000",KG,14-02-19,14-02-19,0002
1027531,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CB9005,F03,PP01,"10,126.620",KG,14-02-19,16-02-19,0004
1027532,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CB9013,F03,PP01,"5,625.000",KG,14-02-19,16-02-19,0003
1027533,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9010,F03,PP01,"5,000.000",KG,14-02-19,16-02-19,0005
1027534,RB11,UGPMP2164-DR000200,MP-2164(D),CB9012,F03,PP01,"1,788.000",KG,14-02-19,16-02-19,0002
1027535,RB11,UGMTM1556-DR000230,THAMATE-1556,CB9002,F03,PP01,900.000,KG,14-02-19,16-02-19,0001
1027536,RB11,UGPPR1759-DR000200,THAMOL PR-1759,CB9002,F03,PP01,694.300,KG,14-02-19,16-02-19,0001
1027537,RB11,UGPCP1802-DR000200,THAMOL CP-1802,CB9003,F03,PP01,206.000,KG,14-02-19,16-02-19,0001
