Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027133,RB11,ENGAL9039-BLK01000,ALMATEX-A-9039,CL8011,F02,PP01,"2,000.000",KG,28-01-19,28-01-19,0001
1027136,RB11,ENGAL9039-BLK01000,ALMATEX-A-9039,CA9001,F02,PP01,"3,000.000",KG,28-01-19,28-01-19,0001
1027189,RB11,RKPR14100-DR000160,POLYMAL R141,CA9004,F01,PP01,145.000,KG,28-01-19,29-01-19,0001
1027232,RB11,RKVVSC032-DR000200,VINYSOL-C-032,CM8006,F02,PP01,"1,200.000",KG,28-01-19,28-01-19,0001
1027233,RB11,UGMCM200R-KY000050,COSMONATE M-200,CA9001,F02,PP01,250.000,KG,28-01-19,28-01-19,0001
1027237,RB11,ENGAL2890-DR000200,ALMATEX-A-289,CA9001,F02,PP01,"3,632.000",KG,28-01-19,28-01-19,0001
1027239,RB11,ENGAL9009-DR000100,ALMATEX-A-9009,CA9002,F02,PP01,300.000,KG,28-01-19,28-01-19,0001
