Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027350,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CB9005,F03,PP01,"4,831.200",KG,13-02-19,15-02-19,0003
1027400,RB11,RKA3345P0-DR000200,ACRYLAX-3345P,CB9005,F02,PP01,"5,500.000",KG,13-02-19,13-02-19,0001
1027411,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CB9006,F02,PP01,"8,029.700",KG,13-02-19,15-02-19,0001
1027412,RB11,RKVV61450-BLK01000,VINYLAX-6145,CB9001,F02,PP01,"5,318.100",KG,13-02-19,15-02-19,0001
1027413,RB11,RKA506000-DR000200,ACRYLAX-506,CB9014,F02,PP01,"9,452.560",KG,13-02-19,15-02-19,0001
1027414,RB11,ENGAL9009-BLK01000,ALMATEX-A-9009,CB9004,F02,PP01,"10,222.200",KG,13-02-19,15-02-19,0002
1027415,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CB9007,F02,PP01,"5,736.910",KG,13-02-19,15-02-19,0001
1027416,RB11,RKA508800-DR000100,ACRYLAX-5088,CB9002,F02,PP01,"1,700.000",KG,13-02-19,15-02-19,0001
1027417,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9021,F02,PP01,"4,099.350",KG,13-02-19,15-02-19,0001
1027430,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CB9009,F03,PP01,"9,901.960",KG,13-02-19,15-02-19,0006
1027431,RB11,UGPPN1459-BLK01000,THAMOL PN-1459,CB9002,F03,PP01,"3,985.480",KG,13-02-19,15-02-19,0002
1027432,RB11,UGMMC8500-DR000230,COSMONATE MC-85,CB9003,F03,PP01,"4,440.000",KG,13-02-19,15-02-19,0001
1027433,RB11,UGPMP2164-DR000200,MP-2164(D),CB9011,F03,PP01,"1,788.000",KG,13-02-19,15-02-19,0002
1027434,RB11,UGMCOPM33-CN000020,COSMONATE PM-33,CB9001,F03,PP01,"1,300.000",KG,13-02-19,15-02-19,0001
1027450,RB11,ENJAO5290-DR000200,OLESTER AO-529,CB9003,F01,PP01,"7,148.900",KG,13-02-19,15-02-19,0001
1027451,RB11,ENJAO5490-DR000200,OLESTER AO-549,CB9006,F01,PP01,"7,117.500",KG,13-02-19,15-02-19,0001
1027452,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9036,F01,PP01,"4,390.000",KG,13-02-19,15-02-19,0002
1027453,RB11,ENR286000-DR000200,U-VAN 28-60,CB9007,F01,PP01,"6,982.000",KG,13-02-19,15-02-19,0001
1027454,RB11,ENR48B000-DR000200,U-VAN 48B,CB9009,F01,PP01,"8,022.000",KG,13-02-19,15-02-19,0001
1027465,RB11,RKOSN500A-CN000250,SN-500A,790201W,F01,PP01,"1,275.650",KG,13-02-19,15-02-19,0002
1027466,RB11,RKOSN500A-CN000250,SN-500A,790202W,F01,PP01,"1,275.650",KG,13-02-19,15-02-19,0002
1027477,RB11,RKA010500-DR000200,ACRYLAX 0105,CB9002,F02,PP01,"4,000.000",KG,13-02-19,15-02-19,001
1027481,RB11,ENGAL2500-DR000200,ALMATEX-A-250,CB9002,F02,PP01,200.000,KG,13-02-19,13-02-19,0001
1027484,RB11,RKA950900-BLK01000,ACRYLAX-9509,CB9003,F02,PP01,"10,659.000",KG,13-02-19,13-02-19,0001
1027485,RB11,RKA890700-BLK01000,ACRYLAX-8907,CB9002,F02,PP01,"1,000.000",KG,13-02-19,13-02-19,0001
