Material,Material Description,Lead Time
UGGWPB341-CN000016,TAKELAC WPB-341,18
UGGWPB341-DR000180,TAKELAC WPB-341,18
UGGWSR145-DR000190,WSR-145,18
UGGWSR415-DR000190,WSR-415,18
UGM121THB-DR000250,TUF-121TH-B,18
UGM125B00-DR000200,COSMONATE TUF-125B,18
UGMAX662T-CN000018,HIPRENE AX-662,18
UGMC400HW-DR000250,COSMONATE MC-400HW,18
UGMCG1125-DR000230,COSMONATE CG-1125,18
UGMCG1125-DR000250,COSMONATE CG-1125,18
UGMCG3200-DR000230,COSMONATE CG-3200,18
UGMCM1000-DR000250,COSMONATE M-100,18
UGMCM2000-DR000020,ISOCYANATE(COSMONATE M-200),18
UGMCM2000-DR000050,COSMONATE M-200,18
UGMCM2000-DR000070,COSMONATE M-200,18
UGMCM2000-DR000100,COSMONATE M-200,18
UGMCM2000-DR000150,COSMONATE M-200,18
UGMCM2000-KY000010,COSMONATE M-200,18
UGMCM2000-KY000050,COSMONATE M-200,18
UGMCM2000-KY000054,COSMONATE M-200,18
UGMCM200J-DR000250,ISOCYANATE(COSMONATE M-200),18
UGMCM200K-DR000250,COSMONATE M-200,18
UGMCM200R-DR000020,ISOCYANATE(COSMONATE M-200),18
UGMCM200R-DR000050,COSMONATE M-200,18
UGMCM200R-DR000070,COSMONATE M-200,18
UGMCM200R-DR000100,COSMONATE M-200,18
UGMCM200R-DR000150,COSMONATE M-200,18
UGMCM200R-KY000010,COSMONATE M-200,18
UGMCM200R-KY000050,COSMONATE M-200,18
UGMCM200R-KY000054,COSMONATE M-200,18
UGMCM200W-DR000250,COSMONATE M-200W,18
UGMCMC120-DR000250,COSMONATE MC-120,18
UGMCMC400-DR000250,COSMONATE MC-400,18
UGMCMC73C-KY000018,COSMONATE MC-73,18
UGMCMC73D-DR000200,COSMONATE MC-73,18
UGMCMC85K-DR000230,COSMONATE MC-85,18
UGMCOM400-DR000250,COSMONATE M-400,18
UGMCOPM33-CN000020,COSMONATE PM-33,18
UGMCOSHXR-GL000006,COSMONATE-H(X),18
UGMCOSLLR-CN000018,COSMONATE LL,18
UGMCOSMHL-DR000250,COSMONATE HL,18
UGMCOSMHX-DR000250,COSMONATE-H(X),18
UGMCOSMLL-DR000250,COSMONATE-LL,18
UGMCOSMOH-DR000250,COSMONATE-H,18
UGMCOSMSA-KY000050,ISOCYANATE(COSMONATE-SA),18
UGMCOSMSA-KY000054,ISOCYANATE(COSMONATE-SA),18
UGMCOSMST-DR000250,COSMONATE ST,18
UGMCOSPHJ-DR000225,COSMONATE-PH,18
UGMCOSPHK-CN000010,COSMONATE-PH,18
UGMCOSPHK-DR000225,COSMONATE-PH,18
UGMCOSTBM-DR000250,COSMONATE TBM,18
UGMCOSTPM-DR000250,COSMONATE-TPM,18
UGMCOSTTM-DR000250,COSMONATE-TTM,18
UGMCOTBMT-DR000250,COSMONATE TBM,18
UGMCOTPMD-DR000250,COSMONATE TPM(D),18
UGMCOTTMX-DR000250,COSMONATE-TTM(X),18
UGMCSR550-DR000250,COSMONATE SR-550,18
UGMEP505S-DR000200,ACTCOL EP-505(S),18
UGML12700-CN000001,TAKENATE L-1270,18
UGML1270C-CN000018,TAKENATE L-1270C,18
UGML1280C-CN000018,TAKENATE L-1280C,18
UGML1280C-DR000200,TAKENATE L-1280C,18
UGML1285C-CN000018,TAKENATE L-1285C,18
UGML1290C-CN000018,TAKENATE L-1290C,18
UGML1295C-CN000018,TAKENATE L-1295C,18
UGMMC120K-DR000250,COSMONATE MC-120,18
UGMMC1569-DR000250,THAMATE MC-1569,18
UGMMC3000-DR000230,COSMONATE MC-30,18
UGMMC400H-DR000250,OSMONATE MC-400H,18
UGMMC400K-DR000250,COSMONATE MC-400,18
UGMMC400T-DR000250,THAMATE MC-400T,18
UGMMC4600-DR000250,THAMATE MC-460,18
UGMMC460K-DR000250,COSMONATE MC-460,18
UGMMC7400-DR000220,COSMONATE MC-74,18
UGMMC8500-DR000230,COSMONATE MC-85,18
UGMMC8900-DR000230,THAMATE MC-89,18
UGMMM0230-DR000250,COSMONATE MM-023,18
UGMMM0900-DR000200,COSMONATE MM-09,18
UGMMR2000-DR000250,MILLIONATE MR-200,18
UGMPM2000-DR000250,WANNATE PM-200,18
UGMPM3500-DR000250,COSMONATE PM-35,18
UGMT6490A-CN000018,TAKENATE XL-6490A,18
UGMTAF610-CN000018,TAKENATE F-610,18
UGMTAF620-CN000018,TAKENATE F-620,18
UGMTAK600-DR000220,TAKENATE 600,18
UGMTD160N-CN000018,TAKENATE D-160N,18
UGMTD165N-CN000018,TAKENATE D-165N,18
UGMTF308M-CN000040,TAKENATE F-308M,18
UGMTL1020-CN000060,TAKENATE L-1020,18
UGMTL1156-CN000018,TAKENATE L-1156,18
UGMTL1158-CN000018,TAKENATE L-1158,18
UGMTL1170-CN000018,TAKENATE L-1170,18
UGMTL1290-CN000018,TAKENATE L-1290,18
UGMTL2690-CN000018,TAKENATE L-2690,18
UGMTL2695-CN000018,TAKENATE L-2695,18
UGMTL2705-CN000015,TAKENATE L-2705,18
UGMTL2705-CN000018,TAKENATE L-2705,18
UGMTL2710-CN000018,TAKENATE L-2710,18
UGMTL2760-CN000018,TAKENATE L-2760,18
UGMTL2761-CN000018,TAKENATE L-2761,18
UGMTL2785-CN000018,TAKENATE L-2785,18
UGMTM1209-DR000240,THAMATE-1209,18
UGMTM1315-DR000230,THAMATE-1315,18
UGMTM1552-DR000250,THAMATE-1552,18
UGMTM1556-DR000230,THAMATE-1556,18
UGMTM1722-DR000230,THAMATE-1722,18
UGMTM1788-DR000230,THAMATE-1788,18
UGMTSI990-CN000020,TAKENATE LSI-990,18
UGMTU125B-DR000230,COSMONATE TUF-125B,18
UGMTU125B-DR000250,COSMONATE TUF-125B,18
UGMWA8001-DR000225,WANNATE-8001,18
UGMWA8001-DR000240,WANNATE-8001,18
UGP030400-DR000200,XRF-0304,18
UGP121THA-DR000200,TUF-121TH-A,18
UGP121THA-DR000210,TUF-121TH-A,18
UGP125KTH-DR000200,Actcol TUF-125K(TH),18
UGP3000P2-DR000200,UF-3000-P2,18
UGPACD400-DR000200,ACTCOL D-400,18
UGPACD700-DR000200,ACTCOL D-700,18
UGPACL50B-BLK20000,L-50,18
UGPACL50D-DR000200,ACTCOL L-50,18
UGPACLR03-DR000200,ACTCOL LR-03,18
UGPACTP28-DR000200,ACTCOL P-28,18
UGPAD1000-DR000200,ACTCOL D-1000,18
UGPAD2000-DR000200,ACTCOL D-2000,18
UGPAD3000-DR000200,ACTCOL D-3000,18
UGPAF1441-DR000200,THAMOL AF-1441,18
UGPAF1501-DR000200,THAMOL AF-1501,18
UGPAF1501-DR000210,THAMOL AF-1501,18
UGPAF1502-DR000200,THAMOL AF-1502,18
UGPAF1502-DR000210,THAMOLAF-1502,18
UGPAF1555-DR000200,THAMOL AF-1555,18
UGPAF5950-DR000200,THAMOL AF-595,18
UGPAGR84T-DR000210,ACTCOL GR-84T,18
UGPAGR84T-DR000211,ACTCOL GR-84T,18
UGPAPOP93-DR000200,ACTCOL POP-93,18
UGPBA009A-BLK01200,BACK-009-A,18
UGPBA1568-DR000200,THAMOL BACK-1568,18
UGPBA1575-DR000200,Thamol Back-1575,18
UGPBHT133-DR000200,BHT-13%,18
UGPBK0090-BLK01000,BACK-009,18
UGPBK009A-BLK01000,BACK-009-A,18
UGPBU1009-DR000220,THAMOL BU-1009,18
UGPBU101L-DR000200,THAMOL BU-1001(L),18
UGPBU101L-DR000220,THAMOL BU-1001(L),18
UGPBU1498-DR000200,THAMOL BU-1498,18
UGPBU1611-DR000220,THAMOL BU-1611,18
UGPBU9080-DR000220,THAMOL BU-908,18
UGPBU908M-DR000220,THAMOL BU-908(M),18
UGPBU908S-DR000220,THAMOL BU-908(S),18
UGPBU9280-DR000220,THAMOL BU-928,18
UGPBU928S-DR000220,THAMOL BU-928(S),18
UGPBW1020-DR000200,THAMOL BW-1020,18
UGPC1005R-GL000010,THAMOL CR-1005,18
UGPC1005R-GL000020,THAMOL CR-1005,18
UGPC20301-DR000200,THAMOL CEP2030-1,18
UGPC20401-DR000200,THAMOL CEP2040-1,18
UGPC50601-DR000200,THAMOL CEP5060-1,18
UGPC5616S-DR000210,CARADOL SC56-16S,18
UGPC60381-DR000200,THAMOL CEP6038-1,18
UGPCAST30-CN000018,CATALYST ST-30,18
UGPCAT020-KY000020,CAT-02,18
UGPCFA601-KY000200,CFA-601,18
UGPCFA621-KY000200,CFA-621,18
UGPCFA661-KY000200,CFA-661,18
UGPCL1696-DR000200,THAMOL CL-1696,18
UGPCL1699-DR000200,THAMOL CL-1699,18
UGPCL1725-DR000200,THAMOL CL-1725,18
UGPCL1755-DR000200,THAMOL CL-1755,18
UGPCL1799-DR000200,THAMOL CL-1799,18
UGPCP1802-DR000200,THAMOL CP-1802,18
UGPCP2030-KY000020,CEP2030-1,18
UGPCP2040-KY000020,CEP2040-1,18
UGPCP5060-KY000020,CEP5060-1,18
UGPCR1005-DR000200,THAMOL CR-1005,18
UGPCS1520-DR000200,Thamol CS-1520,18
UGPCS1539-DR000200,THAMOL CS-1539,18
UGPCS1551-DR000200,THAMOL CS-1551,18
UGPCS1551-DR000210,THAMOL CS-1551,18
UGPCS1571-DR000200,THAMOL CS-1571,18
UGPCS1688-DR000200,THAMOL CS-1688,18
UGPCS1688-DR000210,THAMOL CS-1688,18
UGPCS5930-BLK01000,THAMOL CS-593,18
UGPCS593A-BLK01100,THAMOL CS-593-A,18
UGPCS8000-DR000200,THAMOL CS-800,18
UGPCU5930-BLK01100,THAMOL CS-593,18
UGPCUS101-BLK01000,HARD-101/CUSHION-101,18
UGPCYCLO1-DR000130,CYCLOPENTANE,18
UGPCYCLO2-DR000148,CYCLOPENTANE,18
UGPDABCT9-CN000025,DABCO T-9,18
UGPDB1020-DR000200,THAMOL-DB-102,18
UGPDB1020-KY000180,THAMOL DB-102,18
UGPDF2000-DR000200,POLYOL DF-2000,18
UGPDF3000-DR000200,POLYOL DF-3000,18
UGPDF4020-DR000210,DF-4020,18
UGPDS1844-DR000200,THAMOL DS-1844,18
UGPEPR140-DR000220,EPOMIK R140,18
UGPFC1414-DR000200,THAMOL FC-1414,18
UGPFLEXWA-DR000200,FLEX-W,18
UGPGR84TR-DR000210,ACTCOL GR-84T,18
UGPH10150-BLK01000,HARD-1015,18
UGPH1015A-BLK01000,HARD-1015-A,18
UGPH1015A-BLK01200,HARD-1015-A,18
UGPH14400-BLK01000,THAMOL HARD-1440,18
UGPHAR101-DR000210,HARD-101/CUSHION-101,18
UGPHAX616-CN000016,HIPRENE AX-616,18
UGPHAX662-CN000018,HIPRENE AX-662,18
UGPHD1440-BLK01100,THAMOL HARD-1440,18
UGPHL4560-DR000200,THAMOL HL-456,18
UGPHR1333-DR000200,THAMOL HR-1333,18
UGPHR1449-DR000200,THAMOL HR-1449,18
UGPHR1525-DR000200,THAMOL HR-1525,18
UGPHR7550-DR000200,THAMOL HR-755,18
UGPHR9030-DR000200,THAMOL HR-903,18
UGPHU36EX-CN000018,HIPRENE U-36EX,18
UGPIB1344-DR000220,THAMOL IB-1344,18
UGPIB6080-DR000200,THAMOL IB-608,18
UGPIF9020-DR000200,THAMOL IF-902,18
UGPIS1561-DR000200,THAMOL IS-1561,18
UGPIW1550-DR000200,THAMOL IW-1550,18
UGPLR0600-DR000200,ACTCOL LR-06,18
UGPLR1400-DR000200,THAMOL TLR-1400,18
UGPLR1403-DR000200,THAMOL TLR-1403,18
UGPLR1504-DR000200,THAMOL TLR-1504,18
UGPMA3050-DR000210,MA-3050,18
UGPMEOH0R-DR000160,Methyl Alcohol (MeOH)                  ,18
UGPMP1559-DR000200,THAMOL MP-1559,18
UGPMP2164-DR000200,MP-2164(D),18
UGPMS1563-DR000200,THAMOL MS-1563,18
UGPMS1742-DR000200,THAMOL MS-1742,18
UGPPC1776-DR000200,THAMOL PC-1776,18
UGPPC1777-DR000200,THAMOL PC-1777,18
UGPPC9100-CN000164,TAKELAC PC-9100S,18
UGPPC9200-CN000164,TAKELAC PC-9200S,18
UGPPE7020-DR000200,THAMOL PE-702,18
UGPPG1829-DR000200,THAMOL PG-1829,18
UGPPL1602-DR000210,THAMOL PL-1602,18
UGPPN1309-DR000220,THAMOL PN-1309,18
UGPPN1459-BLK01000,THAMOL PN-1459,18
UGPPN1508-DR000200,THAMOL PN-1508,18
UGPPN1513-DR000200,THAMOL PN-1513,18
UGPPN1590-DR000200,THAMOL PN-1590,18
UGPPN1617-DR000200,THAMOL PN-1617,18
UGPPN1633-DR000200,THAMOL PN-1633,18
UGPPN1673-DR000200,THAMOL PN-1673,18
UGPPN1757-DR000200,THAMOL PN-1757,18
UGPPN1782-DR000200,THAMOL PN-1782,18
UGPPN1815-DR000200,THAMOL PN-1815,18
UGPPN2830-DR000200,THAMOL PN-283,18
UGPPO3003-DR000210,POLIMAXX 3003,18
UGPPOLY12-CN000015,POLYCAT#12,18
UGPPOLYMM-DR000200,Polyol MM,18
UGPPP1527-DR000200,THAMOL PP-1527,18
UGPPP1529-DR000200,THAMOL PP-1529,18
UGPPP1693-DR000200,THAMOL PP-1693,18
UGPPP1724-DR000200,THAMOL PP-1724,18
UGPPP1727-DR000200,THAMOL PP-1727,18
UGPPP1895-DR000200,THAMOL PP-1895,18
UGPPR1007-DR000200,THAMOL PR-1007,18
UGPPR1307-DR000200,THAMOL PR-1307,18
UGPPR1759-DR000200,THAMOL PR-1759,18
UGPPRG00R-DR000195,Propylene Glycol  (PrG),18
UGPPS2980-DR000200,THAMOL PS-298,18
UGPPS4400-DR000200,THAMOL PS-440,18
UGPR1489D-BLK02500,THAMOL RG-1489(D),18
UGPR1489T-BLK01000,THAMOL RG-1489(T),18
UGPR1818D-BLK02500,THAMOL RG-1818(D),18
UGPRED2BR-CN000020,SUNPREN RED 2 BR,18
UGPRG1289-BLK02500,THAMOL RG-1289,18
UGPRG1406-DR000220,THAMOL RG-1406,18
UGPRG1489-BLK01000,THAMOL RG-1489,18
UGPRG1489-BLK02500,THAMOL RG-1489,18
UGPRG1585-DR000200,THAMOL RG-1585,18
UGPRG1678-BLK01000,THAMOL RG-1678,18
UGPRG1818-BLK01000,THAMOL RG-1818,18
UGPRG1818-BLK02500,THAMOL RG-1818,18
UGPRG5790-BLK02500,THAMOL RG-579,18
UGPRG579D-BLK02500,THAMOL RG-579(D),18
UGPRG7040-BLK01000,THAMOL RG-704,18
UGPRG704C-DR000200,THAMOL RG-704(CP),18
UGPRG704X-BLK01000,THAMOL RG-704(X),18
UGPS1113H-DR000200,THAMOL SK-1113H,18
UGPS1479B-DR000200,THAMOL SP-1479B,18
UGPSB1339-DR000220,THAMOL SB-1339,18
UGPSC1312-DR000200,THAMOL SC-1312,18
UGPSC1422-DR000200,THAMOL SC-1422,18
UGPSC1558-DR000200,THAMOL SC-1558,18
UGPSC1579-BLK01000,THAMOL SC-1579,18
UGPSC1675-DR000200,THAMOL SC-1675,18
UGPSC1683-DR000200,THAMOL SC-1683,18
UGPSC1839-DR000200,THAMOL SC-1839,18
UGPSC6120-DR000200,THAMOL SC-612,18
UGPSC8030-DR000220,THAMOL SC-803,18
UGPSD1485-BLK01000,THAMOL SD-1485,18
UGPSD1538-DR000200,THAMOL SD-1538,18
UGPSD9050-DR000200,THAMOL SD-905,18
UGPSK1113-DR000200,THAMOL SK-1113,18
UGPSK1113-DR000210,THAMOL SK-1113,18
UGPSK1562-DR000200,THAMOL SK-1562,18
UGPSK1805-DR000200,THAMOL SK-1805,18
UGPSK1834-DR000200,THAMOL SK-1834,18
UGPSL1515-DR000200,THAMOL SL-1515,18
UGPSL1533-DR000200,THAMOL SL-1533,18
UGPSL1544-DR000200,THAMOL SL-1544,18
UGPSL1599-DR000200,THAMOL SL-1599,18
UGPSL1619-DR000200,THAMOL SL-1619,18
UGPSL1628-DR000200,THAMOL SL-1628,18
UGPSL1632-DR000200,THAMOL SL-1632,18
UGPSL1686-DR000200,THAMOL SL-1686,18
UGPSL1713-DR000200,THAMOL SL-1713,18
UGPSL1733-DR000200,THAMOL SL-1733,18
UGPSL4910-DR000215,SL-491,18
UGPSP1479-DR000200,THAMOL SP-1479,18
UGPSP1479-DR000220,THAMOL SP-1479,18
UGPSP1549-DR000200,THAMOL SP-1549,18
UGPSP2620-DR000200,THAMOL-SP-262,18
UGPSP262N-DR000200,THAMOL SP-262(N),18
UGPSP3110-DR000200,THAMOL SP-311,18
UGPSR451R-DR000215,SR-451,18
UGPT2021B-CN000012,TAKELAC XLW-2021B(S),18
UGPT3000J-DR000200,ACTCOL T-3000S,18
UGPT3019B-CN000016,TAKELAC XLF-3019B-KBLU,18
UGPTAKP40-DR000200,TAKELAC P-40,18
UGPTHR755-DR000210,THAMOL HR-755,18
UGPTM1892-DR000250,THAMATE-1892,18
UGPTP1328-DR000200,THAMOL TP-1328,18
UGPTU125K-DR000210,ACTCOL TUF-125K(TH),18
UGPTU6230-CN000020,TAKELAC U-6230,18
UGPTU7065-CN000010,TAKELAC U-7065,18
UGPUF3000-DR000200,UF-3000-P,18
UGPV1205A-BLK01100,THAMOL VB-1205-A,18
UGPVANDAT-DR000200,Vanadate Solution,18
UGPVB1205-BLK01000,THAMOL VB-1205,18
UGPVB1205-BLK01100,THAMOL VB-1205,18
UGPVB4430-BLK01000,VB-443,18
UGPVB443A-BLK01000,VB-443-A,18
UGPVB443A-BLK01200,VB-443-A,18
UGPWM1388-DR000200,THAMOL WM-1388,18
UGPY56030-BLK21000,Y-5603,18
UGPY56030-DR000200,Y-5603,18
UGPY56030-DR000210,Y-5603,18
UGPY5603R-DR000200,Y-5603,18
UGPY5603R-DR000210,Y-5603,18
UGPY56130-BLK20000,Y-5613,18
UGPY56130-DR000210,Y-5613,18
UGPY75300-BLK21000,Y-7530,18
UGPY75300-DR000210,Y-7530,18
UGPY79300-DR000210,Y-7930,18
UGPY7930K-DR000210,Y-7930,18
UGTCOST65-DR000250,COSMONATE T-65,18
UGTCOST80-BLK25000,COSMONATE T-80,18
UGTCOST80-DR000250,COSMONATE T-80,18
UGTCOTM20-DR000250,COSMONATE TM-20,18
UGTCOTM30-DR000250,COSMONATE TM-30,18
UGTCOTM50-DR000250,COSMONATE TM-50,18
UGTKONT80-DR000250,KONNATE T-80,18
UGTT300JJ-DR000220,THAMATE PPG-300JJ,18
UGTTDI800-DR000250,TDI-80,18
UGTTDIBK0-BLK20000,TOLUENE DIISOCYANATE,18
UGTTDIDR0-DR000250,TOLUENE DIISOCYANATE,18
